ResourceProvider,ResourceType,Description,Operation
Microsoft.HDInsight,clusters,Change RDP setting for HDInsight Cluster,Microsoft.HDInsight/clusters/changerdpsetting/action
Microsoft.HDInsight,clusters,Create Cluster Extension for HDInsight Cluster,Microsoft.HDInsight/clusters/extensions/write
Microsoft.HDInsight,clusters,Create or Update HDInsight Cluster,Microsoft.HDInsight/clusters/write
Microsoft.HDInsight,clusters,Delete Cluster Extension for HDInsight Cluster,Microsoft.HDInsight/clusters/extensions/delete
Microsoft.HDInsight,clusters,Delete a HDInsight Cluster,Microsoft.HDInsight/clusters/delete
Microsoft.HDInsight,clusters,Get HDInsight Cluster Configurations,Microsoft.HDInsight/clusters/configurations/action
Microsoft.HDInsight,clusters,Get HDInsight Cluster Configurations,Microsoft.HDInsight/clusters/configurations/read
Microsoft.HDInsight,clusters,Get Cluster Extension for HDInsight Cluster,Microsoft.HDInsight/clusters/extensions/read
Microsoft.HDInsight,clusters,Get gateway settings for HDInsight Cluster,Microsoft.HDInsight/clusters/getGatewaySettings/action
Microsoft.HDInsight,clusters,Get details about HDInsight Cluster,Microsoft.HDInsight/clusters/read
Microsoft.HDInsight,clusters,Gets the diagnostic setting for the resource HDInsight Cluster,Microsoft.HDInsight/clusters/providers/Microsoft.Insights/diagnosticSettings/read
Microsoft.HDInsight,clusters,Resize a HDInsight Cluster,Microsoft.HDInsight/clusters/roles/resize/action
Microsoft.HDInsight,clusters,Update gateway settings for HDInsight Cluster,Microsoft.HDInsight/clusters/updateGatewaySettings/action
Microsoft.HDInsight,clusters,Creates or updates the diagnostic setting for the resource HDInsight Cluster,Microsoft.HDInsight/clusters/providers/Microsoft.Insights/diagnosticSettings/write
Microsoft.HDInsight,clusters,Gets the available metrics for HDInsight Cluster,Microsoft.HDInsight/clusters/providers/Microsoft.Insights/metricDefinitions/read
Microsoft.HDInsight,clusters/applications,Create or Update Application for HDInsight Cluster,Microsoft.HDInsight/clusters/applications/write
Microsoft.HDInsight,clusters/applications,Delete Application for HDInsight Cluster,Microsoft.HDInsight/clusters/applications/delete
Microsoft.HDInsight,clusters/applications,Get Application for HDInsight Cluster,Microsoft.HDInsight/clusters/applications/read
Microsoft.HDInsight,clusters/operationresults,n/a,n/a
Microsoft.HDInsight,locations,Check Name Availability,Microsoft.HDInsight/locations/checkNameAvailability/read
Microsoft.HDInsight,locations/azureasyncoperations,n/a,n/a
Microsoft.HDInsight,locations/billingSpecs,n/a,n/a
Microsoft.HDInsight,locations/capabilities,Get Subscription Capabilities,Microsoft.HDInsight/locations/capabilities/read
Microsoft.HDInsight,locations/operationresults,n/a,n/a
Microsoft.HDInsight,locations/operationStatuses,n/a,n/a
Microsoft.HDInsight,locations/usages,n/a,n/a
Microsoft.HDInsight,locations/validateCreateRequest,n/a,n/a
Microsoft.HDInsight,none,Register HDInsight resource provider for the subscription,Microsoft.HDInsight/register/action
Microsoft.HDInsight,none,Unregister HDInsight resource provider for the subscription,Microsoft.HDInsight/unregister/action
Microsoft.HDInsight,operations,n/a,n/a
Microsoft.HealthBot,healthBots,Writes healthBots,Microsoft.HealthBot/healthBots/Write
Microsoft.HealthBot,healthBots,Deletes healthBots,Microsoft.HealthBot/healthBots/Delete
Microsoft.HealthBot,healthBots,Read healthBots,Microsoft.HealthBot/healthBots/Read
Microsoft.HealthBot,healthBots,Writes healthBots,Microsoft.HealthBot/healthBots/Action
Microsoft.HealthBot,Locations,n/a,n/a
Microsoft.HealthBot,Locations/OperationStatuses,n/a,n/a
Microsoft.HealthBot,Operations,n/a,n/a
Microsoft.HealthcareApis,checkNameAvailability,Checks for the availability of the specified name.,Microsoft.HealthcareApis/checkNameAvailability/read
Microsoft.HealthcareApis,locations,Checks for the availability of the specified name.,Microsoft.HealthcareApis/locations/checkNameAvailability/read
Microsoft.HealthcareApis,locations/operationresults,Read the status of an asynchronous operation.,Microsoft.HealthcareApis/locations/operationresults/read
Microsoft.HealthcareApis,none,Delete DICOM resources.,Microsoft.HealthcareApis/workspaces/dicomservices/resources/delete
Microsoft.HealthcareApis,none,Read DICOM resources (includes searching and change feed). ,Microsoft.HealthcareApis/workspaces/dicomservices/resources/read
Microsoft.HealthcareApis,none,Write DICOM resources.,Microsoft.HealthcareApis/workspaces/dicomservices/resources/write
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/delete
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/dicomservices/delete
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/fhirservices/delete
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/iotconnectors/delete
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/dicomservices/read
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/fhirservices/read
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/iotconnectors/read
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/read
Microsoft.HealthcareApis,none,Subscription Registration Action,Microsoft.HealthcareApis/register/action
Microsoft.HealthcareApis,none,Unregisters the subscription for the resource provider.,Microsoft.HealthcareApis/unregister/action
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/dicomservices/write
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/fhirservices/write
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/iotconnectors/write
Microsoft.HealthcareApis,none,no Description given,Microsoft.HealthcareApis/workspaces/write
Microsoft.HealthcareApis,none,Reads Private Link resources.,Microsoft.HealthcareApis/workspaces/privateLinkResources/read
Microsoft.HealthcareApis,operations,Read the operations for all resource types.,Microsoft.HealthcareApis/Operations/read
Microsoft.HealthcareApis,services,Data convert operation ($convert-data),Microsoft.HealthcareApis/services/fhir/resources/convertData/action
Microsoft.HealthcareApis,services,Delete FHIR resources (soft delete).,Microsoft.HealthcareApis/services/fhir/resources/delete
Microsoft.HealthcareApis,services,Export operation ($export).,Microsoft.HealthcareApis/services/fhir/resources/export/action
Microsoft.HealthcareApis,services,Hard Delete (including version history).,Microsoft.HealthcareApis/services/fhir/resources/hardDelete/action
Microsoft.HealthcareApis,services,Read FHIR resources (includes searching and versioned history). ,Microsoft.HealthcareApis/services/fhir/resources/read
Microsoft.HealthcareApis,services,Validate operation ($validate).,Microsoft.HealthcareApis/services/fhir/resources/resourceValidate/action
Microsoft.HealthcareApis,services,Write FHIR resources (includes create and update).,Microsoft.HealthcareApis/services/fhir/resources/write
Microsoft.HealthcareApis,services,Deletes resources.,Microsoft.HealthcareApis/services/delete
Microsoft.HealthcareApis,services,Reads resources.,Microsoft.HealthcareApis/services/read
Microsoft.HealthcareApis,services,Writes resources.,Microsoft.HealthcareApis/services/write
Microsoft.HealthcareApis,services/iomtconnectors,n/a,n/a
Microsoft.HealthcareApis,services/iomtconnectors/connections,n/a,n/a
Microsoft.HealthcareApis,services/iomtconnectors/mappings,n/a,n/a
Microsoft.HealthcareApis,services/privateEndpointConnectionProxies,Deletes Private Endpoint Connection Proxy resources.,Microsoft.HealthcareApis/services/privateEndpointConnectionProxies/delete
Microsoft.HealthcareApis,services/privateEndpointConnectionProxies,Reads Private Endpoint Connection Proxy resources.,Microsoft.HealthcareApis/services/privateEndpointConnectionProxies/read
Microsoft.HealthcareApis,services/privateEndpointConnectionProxies,Validate,Microsoft.HealthcareApis/services/privateEndpointConnectionProxies/validate/action
Microsoft.HealthcareApis,services/privateEndpointConnectionProxies,Writes Private Endpoint Connection Proxy resources.,Microsoft.HealthcareApis/services/privateEndpointConnectionProxies/write
Microsoft.HealthcareApis,services/privateEndpointConnections,Deletes Private Endpoint Connections.,Microsoft.HealthcareApis/services/privateEndpointConnections/delete
Microsoft.HealthcareApis,services/privateEndpointConnections,Reads Private Endpoint Connections resources.,Microsoft.HealthcareApis/services/privateEndpointConnections/read
Microsoft.HealthcareApis,services/privateEndpointConnections,Writes connection status to Private Endpoint Connection.,Microsoft.HealthcareApis/services/privateEndpointConnections/write
Microsoft.HealthcareApis,services/privateLinkResources,Reads Private Link resources.,Microsoft.HealthcareApis/services/privateLinkResources/read
Microsoft.HybridCompute,locations,Reads the status of an update center operation on machines,Microsoft.HybridCompute/locations/updateCenterOperationResults/read
Microsoft.HybridCompute,locations/operationResults,Reads the status of an operation on Microsoft.HybridCompute Resource Provider,Microsoft.HybridCompute/locations/operationresults/read
Microsoft.HybridCompute,locations/operationStatus,Reads the status of an operation on Microsoft.HybridCompute Resource Provider,Microsoft.HybridCompute/locations/operationstatus/read
Microsoft.HybridCompute,machines,Assesses any Azure Arc machines to get missing software patches,Microsoft.HybridCompute/machines/assessPatches/action
Microsoft.HybridCompute,machines,Deletes an Azure Arc machines,Microsoft.HybridCompute/machines/delete
Microsoft.HybridCompute,machines,Installs patches on any Azure Arc machines,Microsoft.HybridCompute/machines/installPatches/action
Microsoft.HybridCompute,machines,Read any Azure Arc machines,Microsoft.HybridCompute/machines/read
Microsoft.HybridCompute,machines,Writes an Azure Arc machines,Microsoft.HybridCompute/machines/write
Microsoft.HybridCompute,machines,Reads any Azure Arc patchInstallationResults,Microsoft.HybridCompute/machines/patchInstallationResults/read
Microsoft.HybridCompute,machines,Reads any Azure Arc patchAssessmentResults,Microsoft.HybridCompute/machines/patchAssessmentResults/read
Microsoft.HybridCompute,machines,Reads any Azure Arc patchAssessmentResults/softwarePatches,Microsoft.HybridCompute/machines/patchAssessmentResults/softwarePatches/read
Microsoft.HybridCompute,machines,Reads any Azure Arc patchInstallationResults/softwarePatches,Microsoft.HybridCompute/machines/patchInstallationResults/softwarePatches/read
Microsoft.HybridCompute,machines/extensions,Deletes an Azure Arc extensions,Microsoft.HybridCompute/machines/extensions/delete
Microsoft.HybridCompute,machines/extensions,Installs or Updates an Azure Arc extensions,Microsoft.HybridCompute/machines/extensions/write
Microsoft.HybridCompute,machines/extensions,Reads any Azure Arc extensions,Microsoft.HybridCompute/machines/extensions/read
Microsoft.HybridCompute,none,Registers the subscription for the Microsoft.HybridCompute Resource Provider,Microsoft.HybridCompute/register/action
Microsoft.HybridCompute,none,Unregisters the subscription for Microsoft.HybridCompute Resource Provider,Microsoft.HybridCompute/unregister/action
Microsoft.HybridCompute,none,Deletes an Azure Arc privateEndpointConnections,Microsoft.HybridCompute/privateLinkScopes/privateEndpointConnections/delete
Microsoft.HybridCompute,none,Read any Azure Arc privateEndpointConnections,Microsoft.HybridCompute/privateLinkScopes/privateEndpointConnections/read
Microsoft.HybridCompute,none,Writes an Azure Arc privateEndpointConnections,Microsoft.HybridCompute/privateLinkScopes/privateEndpointConnections/write
Microsoft.HybridCompute,none,Deletes an Azure Arc privateLinkScopes,Microsoft.HybridCompute/privateLinkScopes/delete
Microsoft.HybridCompute,none,Read any Azure Arc privateLinkScopes,Microsoft.HybridCompute/privateLinkScopes/read
Microsoft.HybridCompute,none,Writes an Azure Arc privateLinkScopes,Microsoft.HybridCompute/privateLinkScopes/write
Microsoft.HybridCompute,operations,Read all Operations for Azure Arc for Servers,Microsoft.HybridCompute/operations/read
Microsoft.HybridData,dataManagers,Create or update Data managers,Microsoft.HybridData/dataManagers/write
Microsoft.HybridData,dataManagers,Delete Data managers,Microsoft.HybridData/dataManagers/delete
Microsoft.HybridData,dataManagers,Read Data managers,Microsoft.HybridData/dataManagers/read
Microsoft.HybridData,dataManagers,Read Data services,Microsoft.HybridData/dataManagers/dataServices/read
Microsoft.HybridData,dataManagers,Read Datastore types,Microsoft.HybridData/dataManagers/dataStoreTypes/read
Microsoft.HybridData,dataManagers,Create or update Datastores,Microsoft.HybridData/dataManagers/dataStores/write
Microsoft.HybridData,dataManagers,Delete Datastores,Microsoft.HybridData/dataManagers/dataStores/delete
Microsoft.HybridData,dataManagers,Read Datastores,Microsoft.HybridData/dataManagers/dataStores/read
Microsoft.HybridData,dataManagers,Create or update Job definitions,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/write
Microsoft.HybridData,dataManagers,Delete Job definitions,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/delete
Microsoft.HybridData,dataManagers,Get job defintions,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/listResults/action
Microsoft.HybridData,dataManagers,Read Job definitions,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/read
Microsoft.HybridData,dataManagers,Read Job definitions,Microsoft.HybridData/dataManagers/jobDefinitions/read
Microsoft.HybridData,dataManagers,Run job defintions,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/run/action
Microsoft.HybridData,dataManagers,Cancel jobs,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/jobs/cancel/action
Microsoft.HybridData,dataManagers,Read Jobs,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/jobs/read
Microsoft.HybridData,dataManagers,Read Jobs,Microsoft.HybridData/dataManagers/dataServices/jobs/read
Microsoft.HybridData,dataManagers,Read Jobs,Microsoft.HybridData/dataManagers/jobs/read
Microsoft.HybridData,dataManagers,Resume jobs,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/jobs/resume/action
Microsoft.HybridData,dataManagers,Read Operation results,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/jobs/operationResults/read
Microsoft.HybridData,dataManagers,Read Operation results,Microsoft.HybridData/dataManagers/dataServices/jobDefinitions/operationResults/read
Microsoft.HybridData,dataManagers,Read Operation results,Microsoft.HybridData/dataManagers/dataStores/operationResults/read
Microsoft.HybridData,dataManagers,Read Operation results,Microsoft.HybridData/dataManagers/operationResults/read
Microsoft.HybridData,dataManagers,Read Public keys,Microsoft.HybridData/dataManagers/publicKeys/read
Microsoft.HybridData,operations,Read Operations,Microsoft.HybridData/operations/read
Microsoft.HybridNetwork,Locations,Writes locations/vendors/networkfunctions,Microsoft.HybridNetwork/locations/vendors/networkfunctions/Write
Microsoft.HybridNetwork,Locations,Deletes locations/vendors/networkfunctions,Microsoft.HybridNetwork/locations/vendors/networkfunctions/Delete
Microsoft.HybridNetwork,Locations,Read locations/vendors/networkfunctions,Microsoft.HybridNetwork/locations/vendors/networkfunctions/Read
Microsoft.HybridNetwork,Locations,Patch on locations/vendors/networkfunctions/roleInstances,Microsoft.HybridNetwork/locations/vendors/networkfunctions/roleInstances/Action
Microsoft.HybridNetwork,Locations,Writes locations/vendors/virtualnetworkfunctions,Microsoft.HybridNetwork/locations/vendors/virtualnetworkfunctions/Write
Microsoft.HybridNetwork,Locations,Deletes locations/vendors/virtualnetworkfunctions,Microsoft.HybridNetwork/locations/vendors/virtualnetworkfunctions/Delete
Microsoft.HybridNetwork,Locations,Read locations/vendors/virtualnetworkfunctions,Microsoft.HybridNetwork/locations/vendors/virtualnetworkfunctions/Read
Microsoft.HybridNetwork,Locations,Patch on locations/vendors/networkfunctions,Microsoft.HybridNetwork/locations/vendors/networkfunctions/Action
Microsoft.HybridNetwork,Locations,Patch on locations/vendors/virtualnetworkfunctions,Microsoft.HybridNetwork/locations/vendors/virtualnetworkfunctions/Action
Microsoft.HybridNetwork,Locations,Read locations/vendors/virtualnetworkfunctions/roleInstances,Microsoft.HybridNetwork/locations/vendors/virtualnetworkfunctions/roleInstances/Read
Microsoft.HybridNetwork,Locations/OperationStatuses,Read Microsoft.HybridNetwork/locations/operationStatuses.,Microsoft.HybridNetwork/locations/operationStatuses/Read
Microsoft.HybridNetwork,none,Writes devices,Microsoft.HybridNetwork/devices/Write
Microsoft.HybridNetwork,none,Deletes devices,Microsoft.HybridNetwork/devices/Delete
Microsoft.HybridNetwork,none,Read devices,Microsoft.HybridNetwork/devices/Read
Microsoft.HybridNetwork,none,Joins a HybridNetwork device,Microsoft.HybridNetwork/devices/join/action
Microsoft.HybridNetwork,none,List device registration key,Microsoft.HybridNetwork/devices/listRegistrationKey/action
Microsoft.HybridNetwork,none,Writes networkfunctions,Microsoft.HybridNetwork/networkfunctions/Write
Microsoft.HybridNetwork,none,Deletes networkFunction,Microsoft.HybridNetwork/networkfunctions/Delete
Microsoft.HybridNetwork,none,Read networkfunctions,Microsoft.HybridNetwork/networkfunctions/Read
Microsoft.HybridNetwork,none,Read networkFunctionVendors,Microsoft.HybridNetwork/networkFunctionvendors/read
Microsoft.HybridNetwork,none,Post operations on devices,Microsoft.HybridNetwork/devices/Action
Microsoft.HybridNetwork,none,Patch on networkfunctions,Microsoft.HybridNetwork/networkfunctions/Action
Microsoft.HybridNetwork,none,Patch on vendors,Microsoft.HybridNetwork/vendors/Action
Microsoft.HybridNetwork,none,Patch on virtualnetworkfunctions,Microsoft.HybridNetwork/virtualnetworkfunctions/Action
Microsoft.HybridNetwork,none,Registers the subscription,Microsoft.HybridNetwork/register/action
Microsoft.HybridNetwork,none,Unregisters the subscription,Microsoft.HybridNetwork/unregister/action
Microsoft.HybridNetwork,none,Read registeredSubscriptions,Microsoft.HybridNetwork/registeredSubscriptions/read
Microsoft.HybridNetwork,none,Writes vendors,Microsoft.HybridNetwork/vendors/Write
Microsoft.HybridNetwork,none,Deletes vendors,Microsoft.HybridNetwork/vendors/Delete
Microsoft.HybridNetwork,none,Read vendors,Microsoft.HybridNetwork/vendors/Read
Microsoft.HybridNetwork,none,Patch on vendors/vendorskus,Microsoft.HybridNetwork/vendors/vendorskus/Action
Microsoft.HybridNetwork,none,Writes vendors/vendorskus,Microsoft.HybridNetwork/vendors/vendorskus/Write
Microsoft.HybridNetwork,none,Deletes vendors/vendorskus,Microsoft.HybridNetwork/vendors/vendorskus/Delete
Microsoft.HybridNetwork,none,Read vendorskus,Microsoft.HybridNetwork/vendors/vendorskus/Read
Microsoft.HybridNetwork,none,Patch on vendors/vendorskus/previewsubscriptions,Microsoft.HybridNetwork/vendors/vendorskus/previewsubscriptions/Action
Microsoft.HybridNetwork,none,Writes vendors/vendorskus/previewsubscriptions,Microsoft.HybridNetwork/vendors/vendorskus/previewsubscriptions/Write
Microsoft.HybridNetwork,none,Deletes vendors/vendorskus/previewsubscriptions,Microsoft.HybridNetwork/vendors/vendorskus/previewsubscriptions/Delete
Microsoft.HybridNetwork,none,Read preview subscriptions.,Microsoft.HybridNetwork/vendors/vendorskus/previewsubscriptions/Read
Microsoft.HybridNetwork,none,Writes virtualnetworkfunctions,Microsoft.HybridNetwork/virtualnetworkfunctions/Write
Microsoft.HybridNetwork,none,Deletes virtualNetworkFunction,Microsoft.HybridNetwork/virtualnetworkfunctions/Delete
Microsoft.HybridNetwork,none,Read virtualnetworkfunctions,Microsoft.HybridNetwork/virtualnetworkfunctions/Read
Microsoft.HybridNetwork,none,Read virtualNetworkFunctionSkus,Microsoft.HybridNetwork/virtualNetworkFunctionvendors/read
Microsoft.HybridNetwork,operations,Read Microsoft.HybridNetwork/operations.,Microsoft.HybridNetwork/operations/Read
Microsoft.ImportExport,jobs,Creates a job with the specified parameters or update the properties or tags for the specified job.,Microsoft.ImportExport/jobs/write
Microsoft.ImportExport,jobs,Deletes an existing job.,Microsoft.ImportExport/jobs/delete
Microsoft.ImportExport,jobs,Gets the properties for the specified job or returns the list of jobs.,Microsoft.ImportExport/jobs/read
Microsoft.ImportExport,jobs,Gets the BitLocker keys for the specified job.,Microsoft.ImportExport/jobs/listBitLockerKeys/action
Microsoft.ImportExport,locations,Gets the properties for the specified location or returns the list of locations.,Microsoft.ImportExport/locations/read
Microsoft.ImportExport,locations/operationResults,n/a,n/a
Microsoft.ImportExport,none,Registers the subscription for the import/export resource provider and enables the creation of import/export jobs.,Microsoft.ImportExport/register/action
Microsoft.ImportExport,operations,Gets the operations supported by the Resource Provider.,Microsoft.ImportExport/operations/read
Microsoft.IndustryDataLifecycle,collaborativeInvitations,read collaborativeInvitations,Microsoft.IndustryDataLifecycle/collaborativeInvitations/read
Microsoft.IndustryDataLifecycle,custodianCollaboratives/collaborativeImage,delete custodianCollaboratives/collaborativeImage,Microsoft.IndustryDataLifecycle/custodianCollaboratives/collaborativeImage/delete
Microsoft.IndustryDataLifecycle,custodianCollaboratives/collaborativeImage,read custodianCollaboratives/collaborativeImage,Microsoft.IndustryDataLifecycle/custodianCollaboratives/collaborativeImage/read
Microsoft.IndustryDataLifecycle,custodianCollaboratives/collaborativeImage,write custodianCollaboratives/collaborativeImage,Microsoft.IndustryDataLifecycle/custodianCollaboratives/collaborativeImage/write
Microsoft.IndustryDataLifecycle,custodianCollaboratives/invitations,delete custodianCollaboratives/invitations,Microsoft.IndustryDataLifecycle/custodianCollaboratives/invitations/delete
Microsoft.IndustryDataLifecycle,custodianCollaboratives/invitations,read custodianCollaboratives/invitations,Microsoft.IndustryDataLifecycle/custodianCollaboratives/invitations/read
Microsoft.IndustryDataLifecycle,custodianCollaboratives/invitations,write custodianCollaboratives/invitations,Microsoft.IndustryDataLifecycle/custodianCollaboratives/invitations/write
Microsoft.IndustryDataLifecycle,custodianCollaboratives/invitations,delete custodianCollaboratives/invitations/termsOfUseDocuments,Microsoft.IndustryDataLifecycle/custodianCollaboratives/invitations/termsOfUseDocuments/delete
Microsoft.IndustryDataLifecycle,custodianCollaboratives/invitations,read custodianCollaboratives/invitations/termsOfUseDocuments,Microsoft.IndustryDataLifecycle/custodianCollaboratives/invitations/termsOfUseDocuments/read
Microsoft.IndustryDataLifecycle,custodianCollaboratives/invitations,write custodianCollaboratives/invitations/termsOfUseDocuments,Microsoft.IndustryDataLifecycle/custodianCollaboratives/invitations/termsOfUseDocuments/write
Microsoft.IndustryDataLifecycle,custodianCollaboratives/receivedDataPackages,delete custodianCollaboratives/receivedDataPackages,Microsoft.IndustryDataLifecycle/custodianCollaboratives/receivedDataPackages/delete
Microsoft.IndustryDataLifecycle,custodianCollaboratives/receivedDataPackages,read custodianCollaboratives/receivedDataPackages,Microsoft.IndustryDataLifecycle/custodianCollaboratives/receivedDataPackages/read
Microsoft.IndustryDataLifecycle,custodianCollaboratives/receivedDataPackages,write custodianCollaboratives/receivedDataPackages,Microsoft.IndustryDataLifecycle/custodianCollaboratives/receivedDataPackages/write
Microsoft.IndustryDataLifecycle,custodianCollaboratives/termsOfUseDocuments,delete custodianCollaboratives/termsOfUseDocuments,Microsoft.IndustryDataLifecycle/custodianCollaboratives/termsOfUseDocuments/delete
Microsoft.IndustryDataLifecycle,custodianCollaboratives/termsOfUseDocuments,read custodianCollaboratives/termsOfUseDocuments,Microsoft.IndustryDataLifecycle/custodianCollaboratives/termsOfUseDocuments/read
Microsoft.IndustryDataLifecycle,custodianCollaboratives/termsOfUseDocuments,write custodianCollaboratives/termsOfUseDocuments,Microsoft.IndustryDataLifecycle/custodianCollaboratives/termsOfUseDocuments/write
Microsoft.IndustryDataLifecycle,dataConsumerCollaboratives,n/a,n/a
Microsoft.IndustryDataLifecycle,dataproviders,n/a,n/a
Microsoft.IndustryDataLifecycle,locations,read locations/collaborativeInvitations,Microsoft.IndustryDataLifecycle/locations/collaborativeInvitations/read
Microsoft.IndustryDataLifecycle,locations,delete locations/dataPackages,Microsoft.IndustryDataLifecycle/locations/dataPackages/delete
Microsoft.IndustryDataLifecycle,locations,read locations/dataPackages,Microsoft.IndustryDataLifecycle/locations/dataPackages/read
Microsoft.IndustryDataLifecycle,locations,write locations/dataPackages,Microsoft.IndustryDataLifecycle/locations/dataPackages/write
Microsoft.IndustryDataLifecycle,locations,action locations/downloadInvitationFile,Microsoft.IndustryDataLifecycle/locations/downloadInvitationFile/action
Microsoft.IndustryDataLifecycle,locations,action locations/rejectInvitation,Microsoft.IndustryDataLifecycle/locations/rejectInvitation/action
Microsoft.IndustryDataLifecycle,locations/generateInvitationAuthCode,n/a,n/a
Microsoft.IndustryDataLifecycle,locations/revokeInvitationAuthCode,n/a,n/a
Microsoft.IndustryDataLifecycle,memberCollaboratives,action memberCollaboratives/auditLogs,Microsoft.IndustryDataLifecycle/memberCollaboratives/auditLogs/action
Microsoft.IndustryDataLifecycle,memberCollaboratives,action memberCollaboratives/downloadCollaborativeFile,Microsoft.IndustryDataLifecycle/memberCollaboratives/downloadCollaborativeFile/action
Microsoft.IndustryDataLifecycle,memberCollaboratives,delete memberCollaboratives,Microsoft.IndustryDataLifecycle/memberCollaboratives/delete
Microsoft.IndustryDataLifecycle,memberCollaboratives,read memberCollaboratives,Microsoft.IndustryDataLifecycle/memberCollaboratives/read
Microsoft.IndustryDataLifecycle,memberCollaboratives,write memberCollaboratives,Microsoft.IndustryDataLifecycle/memberCollaboratives/write
Microsoft.IndustryDataLifecycle,memberCollaboratives,read memberCollaboratives/dataModels,Microsoft.IndustryDataLifecycle/memberCollaboratives/dataModels/read
Microsoft.IndustryDataLifecycle,memberCollaboratives,read memberCollaboratives/organizations,Microsoft.IndustryDataLifecycle/memberCollaboratives/organizations/read
Microsoft.IndustryDataLifecycle,memberCollaboratives,action memberCollaboratives/sharedDataPackages/revokeDataPackage,Microsoft.IndustryDataLifecycle/memberCollaboratives/sharedDataPackages/revokeDataPackage/action
Microsoft.IndustryDataLifecycle,memberCollaboratives,delete memberCollaboratives/sharedDataPackages,Microsoft.IndustryDataLifecycle/memberCollaboratives/sharedDataPackages/delete
Microsoft.IndustryDataLifecycle,memberCollaboratives,read memberCollaboratives/sharedDataPackages,Microsoft.IndustryDataLifecycle/memberCollaboratives/sharedDataPackages/read
Microsoft.IndustryDataLifecycle,memberCollaboratives,write memberCollaboratives/sharedDataPackages,Microsoft.IndustryDataLifecycle/memberCollaboratives/sharedDataPackages/write
Microsoft.IndustryDataLifecycle,none,delete baseModels,Microsoft.IndustryDataLifecycle/baseModels/delete
Microsoft.IndustryDataLifecycle,none,read baseModels,Microsoft.IndustryDataLifecycle/baseModels/read
Microsoft.IndustryDataLifecycle,none,write baseModels,Microsoft.IndustryDataLifecycle/baseModels/write
Microsoft.IndustryDataLifecycle,none,read baseModels/entities,Microsoft.IndustryDataLifecycle/baseModels/entities/read
Microsoft.IndustryDataLifecycle,none,read baseModels/relationships,Microsoft.IndustryDataLifecycle/baseModels/relationships/read
Microsoft.IndustryDataLifecycle,none,read baseModels/versions/entities,Microsoft.IndustryDataLifecycle/baseModels/versions/entities/read
Microsoft.IndustryDataLifecycle,none,read baseModels/versions/relationships,Microsoft.IndustryDataLifecycle/baseModels/versions/relationships/read
Microsoft.IndustryDataLifecycle,none,read baseModels/versions/searchEntities,Microsoft.IndustryDataLifecycle/baseModels/versions/searchEntities/read
Microsoft.IndustryDataLifecycle,none,read builtInModels,Microsoft.IndustryDataLifecycle/builtInModels/read
Microsoft.IndustryDataLifecycle,none,read builtInModels/entities,Microsoft.IndustryDataLifecycle/builtInModels/entities/read
Microsoft.IndustryDataLifecycle,none,read builtInModels/relationships,Microsoft.IndustryDataLifecycle/builtInModels/relationships/read
Microsoft.IndustryDataLifecycle,none,read builtInModels/versions/entities,Microsoft.IndustryDataLifecycle/builtInModels/versions/entities/read
Microsoft.IndustryDataLifecycle,none,read builtInModels/versions/relationships,Microsoft.IndustryDataLifecycle/builtInModels/versions/relationships/read
Microsoft.IndustryDataLifecycle,none,read builtInModels/versions/searchEntities,Microsoft.IndustryDataLifecycle/builtInModels/versions/searchEntities/read
Microsoft.IndustryDataLifecycle,none,action custodianCollaboratives/auditLogs,Microsoft.IndustryDataLifecycle/custodianCollaboratives/auditLogs/action
Microsoft.IndustryDataLifecycle,none,action custodianCollaboratives/rejectDataPackage,Microsoft.IndustryDataLifecycle/custodianCollaboratives/rejectDataPackage/action
Microsoft.IndustryDataLifecycle,none,action custodianCollaboratives/removeOrganization,Microsoft.IndustryDataLifecycle/custodianCollaboratives/removeOrganization/action
Microsoft.IndustryDataLifecycle,none,delete custodianCollaboratives,Microsoft.IndustryDataLifecycle/custodianCollaboratives/delete
